 ,Mg,Rg,a,ad,ag,al,an,b,begin,bg,bl,c,cc,d,dg,dl,e,end,f,gb,gc,gg,gi,gm,gp,h,i,j,k,l,m,mq,n,nba,nbc,nf,ng,nhd,nhm,nis,nit,nmc,nnd,nnt,nr,nr1,nr2,nrf,nrj,ns,nsf,nt,ntc,ntcb,nto,ntu,nx,nz,o,p,pba,pbei,q,qt,qv,r,rr,ry,rys,ryt,ryv,rz,rzs,rzt,rzv,s,t,tg,u,ude1,ude2,ude3,udeng,udh,uguo,ule,ulian,uls,usuo,uyy,uzhe,uzhi,v,vd,vf,vg,vi,vl,vn,vshi,vx,vyou,w,x,xu,y,z
Mg,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,25,2,0,0,0
Rg,0,1,0,0,5,0,0,11,0,0,0,3,7,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,12,0,0,2,0,0,0,0,5,0,0,12,0,0,2,0,0,0,0,0,0,2,0,8,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,13,0,0,7,0,0,0,0,0,0,0,0,0,25,0,9,3,0,0,2,1,0,3,54,0,0,0,0
a,9,3,14727,801,1905,51,1564,3952,0,24,27,1672,5075,11323,20,22,68,3793,4640,164,56,20,190,55,15,2,0,71,515,20,10512,4988,122935,0,0,1643,6778,192,16,4165,22,30,1572,4968,1086,51,0,450,24,2702,202,28,84,0,0,0,0,11401,38,6729,297,521,5500,1585,1105,772,931,162,9,8,105,878,27,1,247,655,2997,603,168,79251,6098,886,1144,237,253,9569,31,173,146,39,286,1369,62874,143,2609,1718,11716,380,20962,1810,8,1101,121438,1372,0,1597,508
ad,0,0,2048,542,32,17,120,226,0,0,4,296,888,3200,1,7,3,208,426,11,2,1,25,6,3,0,0,1,41,2,335,179,8715,0,0,27,157,59,1,111,0,0,30,279,37,1,0,10,0,145,12,15,7,0,0,0,0,1586,0,3660,542,429,55,29,20,160,94,9,0,0,3,150,4,0,38,58,93,14,10,7883,1209,27,56,40,33,595,3,24,6,20,14,63,47844,93,505,192,6476,252,7239,1066,73,618,10494,25,0,86,35
ag,0,29,816,15,480,0,14,479,0,0,1,60,238,711,9,5,0,125,363,48,2,0,4,1,0,0,0,2,76,1,361,68,4992,0,0,53,1282,10,0,460,2,1,92,492,112,9,0,140,0,136,1,0,8,0,0,0,0,1093,37,359,5,27,261,65,59,15,71,16,0,0,6,433,0,0,14,45,110,103,1,690,13,15,78,0,6,127,3,5,23,6,17,42,4425,9,85,511,417,22,396,46,0,49,3614,111,0,80,18
al,0,0,36,4,1,0,5,4,0,0,0,19,17,121,0,0,0,47,38,0,0,0,0,0,0,0,0,0,6,0,49,24,153,0,0,0,36,0,0,0,0,0,0,1,2,2,0,3,0,1,0,0,0,0,0,0,0,29,0,46,1,4,9,1,0,14,13,0,0,0,0,9,0,0,3,3,23,0,1,1867,489,5,7,8,0,135,0,0,0,1,0,10,234,2,15,7,31,11,40,23,0,35,4141,2,0,29,6
an,0,0,779,78,16,4,209,146,0,0,4,173,1547,1166,0,1,0,447,423,0,0,0,20,7,0,0,0,0,35,4,697,130,9166,0,0,18,207,0,0,869,4,0,37,490,9,1,0,10,0,43,2,0,0,0,0,0,0,312,0,370,9,29,41,21,49,65,66,4,0,0,13,28,0,0,15,19,83,4,66,4051,248,6,336,8,5,281,0,7,18,1,21,131,3299,20,94,53,726,56,3576,212,0,53,16079,6,0,142,67
b,4,16,3370,289,530,8,762,4310,0,1,17,579,1172,2971,89,14,6,362,3180,70,39,25,159,28,29,0,0,81,228,4,2160,822,80543,2,0,748,3268,251,0,7442,34,8,1989,10364,351,25,0,311,10,1621,181,73,94,0,42,0,0,5125,25,2496,47,191,1403,354,291,160,94,17,0,0,11,1039,29,0,81,537,910,199,11,10807,217,48,444,11,23,145,1,20,69,23,142,156,23261,468,462,796,3941,126,15097,2016,8,810,12593,1158,0,55,83
begin,0,4,11769,2640,801,472,403,14566,0,2,2238,50266,12342,32636,18,1973,76,261441,7663,75,26,38,369,64,17,5,12,640,17,29,30969,7883,87297,12,0,2693,2251,398,19,6299,81,55,3710,16800,43466,3209,22,6717,830,33479,6979,2761,1834,42,314,219,0,26482,65,86753,387,838,1203,733,90,9726,24674,576,19,20,1523,15607,1732,660,12131,3794,84558,839,8,11,20,12,201,0,73,1,89,1,129,5,10,1,69261,521,1025,1509,8591,2452,10943,490,3,3455,128962,3569,0,24,698
bg,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,51,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0
