 ,A,B,C,D,E,F,G,K,L,M,S,U,V,X,Y,Z
A,4706996,0,0,0,0,0,0,190150,0,2970,0,263,0,0,0,0
B,0,5,167599,0,80805,0,501,0,1793,12,0,10,0,0,0,30546
C,0,0,0,167259,0,0,0,0,0,0,0,31,501,0,0,0
D,0,3542,0,0,0,0,0,0,150030,18576,0,0,0,43,142,0
E,0,1792,0,0,0,0,0,0,70797,8218,0,2,0,27,97,0
F,0,1726,0,0,0,0,0,0,0,0,0,0,0,0,14,0
G,0,0,0,0,0,0,0,0,483,18,0,0,0,0,0,0
K,0,202673,0,0,0,1432,0,0,0,0,0,0,0,4184,10676,567
L,249969,0,0,0,0,0,0,7974,0,0,0,4,0,0,0,0
M,3291,29916,0,0,0,24,0,0,0,0,0,0,0,291,776,14
S,138980,40638,0,0,0,284,0,21387,0,0,0,28,0,521,1989,34
U,0,0,192,0,128,0,0,0,0,0,0,0,0,0,0,18
V,471,13,0,0,0,0,0,21,0,0,0,0,0,0,0,0
X,0,0,0,5074,0,0,0,0,0,0,0,0,4,0,0,0
Y,14,355,0,0,0,0,0,0,11917,1414,0,0,0,0,1,0
Z,0,611,0,0,0,0,0,0,27446,3104,0,0,0,12,6,0
